ModelName,Device,OTAVersion,AndroidVersion,SignedOZIP,OTAOZIP,Changelog,Size,MD5
realme 2 Pro,RMX1801EX,RMX1801EX_11.C.31_0310_202005120041," []",http://download.c.realme.com/osupdate/RMX1801EX_11_OTA_0310_all_UP4tkkokow3k.ozip,http://otafsg-cost.realmemobile.com/RMX1801/RMX1801EX_11.C.31_0310_202005120041/patch/amazone2/INT/RMX1801EX/RMX1801EX_11.C.31_0310_202005120041/RMX1801EX_11_OTA_0310_all_UP4tkkokow3k_2b2a9e00.ozip,https://otaafsg-cost.realmemobile.com/RMX1801/RMX1801EX_11.C.31_0310_202005120041/html/amazone2/INT/RMX1801EX/RMX1801EX_11.C.31_0310_202005120041/en-US_e8be4375_5_0.html,2628206978,e1d5f0c83d6cd85583bbc845c0c86453
realme C1/realme 2,RMX1805EX,RMX1805EX_11.A.71_0710_202011200855," []",http://download.c.realme.com/osupdate/RMX1805EX_11_OTA_0710_all_i3cdf6V7tk6F.ozip,http://otafsg-cost.realmemobile.com/RMX1805/RMX1805EX_11.A.71_0710_202011200855/patch/amazone2/GLO/RMX1805EX/RMX1805EX_11.A.71_0710_202011200855/RMX1805EX_11_OTA_0710_all_i3cdf6V7tk6F_18c8bf66.ozip,https://otaafsg-cost.realmemobile.com/RMX1805/RMX1805EX_11.A.71_0710_202011200855/html/amazone2/GLO/RMX1805EX/RMX1805EX_11.A.71_0710_202011200855/en-US_f00edd_5_0.html,2236334171,120fa09b9fd58a88a9072796171d7ee2
realme 3i/realme 3,RMX1821EX,RMX1821EX_11.C.19_1190_202101170328,ColorOS 7.2 [Android 10],http://download.c.realme.com/osupdate/RMX1821EX_11_OTA_1190_all_O22LRvQdPEDL.ozip,http://otafsg-cost.realmemobile.com/RMX1821/RMX1821EX_11.C.19_1190_202101170328/patch/amazone2/GLO/RMX1821EX/RMX1821EX_11.C.19_1190_202101170328/RMX1821EX_11_OTA_1190_all_O22LRvQdPEDL_5bfd.ozip,https://otaafsg-cost.realmemobile.com/RMX1821/RMX1821EX_11.C.19_1190_202101170328/html/amazone2/GLO/RMX1821EX/RMX1821EX_11.C.19_1190_202101170328/en-US_3355fb4_5_0.html,2822066689,4bd96ce09b24e7c2fa1b63785dc40cd7
realme U1,RMX1831EX,RMX1831EX_11.C.23_0230_202101202040," []",http://download.c.realme.com/osupdate/RMX1831EX_11_OTA_0230_all_zpeSGPPH3Lhp.ozip,http://otafsg-cost.realmemobile.com/RMX1831/RMX1831EX_11.C.23_0230_202101202040/patch/amazone2/GLO/RMX1831EX/RMX1831EX_11.C.23_0230_202101202040/RMX1831EX_11_OTA_0230_all_zpeSGPPH3Lhp_39ff.ozip,https://otaafsg-cost.realmemobile.com/RMX1831/RMX1831EX_11.C.23_0230_202101202040/html/amazone2/GLO/RMX1831EX/RMX1831EX_11.C.23_0230_202101202040/en-US_04f9e32fc30b00_5_0.html,2342192730,d1c69995cb295cdcc396e71aec01b9dc
realme X Youth Edition,RMX1851,RMX1851_11.C.12_1120_202102091208,ColorOS 7.2 [Android 10],Not available yet. Try again later,http://otafs-cost.coloros.com/RMX1851/RMX1851_11.C.12_1120_202102091208/patch/CHN/RMX1851/RMX1851_11.C.12_1120_202102091208/RMX1851_11_OTA_1120_all_wloHLd7c8w5w_96da134179e.ozip,https://otaafs-cost.coloros.com/RMX1851/RMX1851_11.C.12_1120_202102091208/html/CHN/RMX1851/RMX1851_11.C.12_1120_202102091208/en-US_376d324_5_0.html,3341596539,95ce96fdbe6ef6b5afd5918a5a38fe2a
realme 3 Pro,RMX1851EX,RMX1851EX_11.C.14_1140_202101231127,ColorOS 7.2 [Android 10],http://download.c.realme.com/osupdate/RMX1851EX_11_OTA_1140_all_r2G1igJtTlW1.ozip,http://otafsg-cost.realmemobile.com/RMX1851/RMX1851EX_11.C.14_1140_202101231127/patch/amazone2/GLO/RMX1851EX/RMX1851EX_11.C.14_1140_202101231127/RMX1851EX_11_OTA_1140_all_r2G1igJtTlW1_cae71b8749cc.ozip,https://otaafsg-cost.realmemobile.com/RMX1851/RMX1851EX_11.C.14_1140_202101231127/html/amazone2/GLO/RMX1851EX/RMX1851EX_11.C.14_1140_202101231127/en-US_e3e87a9fd9_5_0.html,3506802543,d383f956107e0103d1ffdb4e7eb6d42d
realme X CN,RMX1901,RMX1901_11.C.18_1180_202102041709,ColorOS 7.2 [Android 10],http://download.c.realme.com/osupdate/RMX1901_11_OTA_1180_all_FdkOyfLcZGlo.ozip,http://otafs-cost.coloros.com/RMX1901/RMX1901_11.C.18_1180_202102041709/patch/CHN/RMX1901/RMX1901_11.C.18_1180_202102041709/RMX1901_11_OTA_1180_all_FdkOyfLcZGlo_b49d6d23e.ozip,https://otaafs-cost.coloros.com/RMX1901/RMX1901_11.C.18_1180_202102041709/html/CHN/RMX1901/RMX1901_11.C.18_1180_202102041709/en-US_c72514_5_0.html,3341729082,6a177f39181c54b5106040e5d40eac7c
realme X,RMX1901EX,RMX1901EX_11.C.09_1090_202101202241,ColorOS 7.2 [Android 10],http://download.c.realme.com/osupdate/RMX1901EX_11_OTA_1090_all_uC9UYcJPI9Yi.ozip,http://otafsg-cost.realmemobile.com/RMX1901/RMX1901EX_11.C.09_1090_202101202241/patch/amazone2/GLO/RMX1901EX/RMX1901EX_11.C.09_1090_202101202241/RMX1901EX_11_OTA_1090_all_uC9UYcJPI9Yi_f2b0da223b.ozip,https://otaafsg-cost.realmemobile.com/RMX1901/RMX1901EX_11.C.09_1090_202101202241/html/amazone2/GLO/RMX1901EX/RMX1901EX_11.C.09_1090_202101202241/en-US_dbd65b00_5_0.html,3512538715,a40ccb9320338fded142a14413321c8b
realme 5 EU,RMX1911EU,RMX1911EU_11.C.58_1580_202101121754,ColorOS 7.1 [Android 10],http://download.c.realme.com/osupdate/RMX1911EU_11_OTA_1580_all_sutP2HGcuFjX.ozip,http://otafsg-cost.realmemobile.com/RMX1911EEA/RMX1911EU_11.C.58_1580_202101121754/patch/amazone2/GLO/RMX1911EU/RMX1911EU_11.C.58_1580_202101121754/RMX1911EU_11_OTA_1580_all_sutP2HGcuFjX_b7cd.ozip,https://otaafsg-cost.realmemobile.com/RMX1911EEA/RMX1911EU_11.C.58_1580_202101121754/html/amazone2/GLO/RMX1911EU/RMX1911EU_11.C.58_1580_202101121754/en-US_834088_5_0.html,2853019389,4644244ee8b9e81997ee370ac943b3f6
realme 5s/realme 5,RMX1911EX,RMX1911EX_11.C.63_1630_202101121752,ColorOS 7.1 [Android 10],http://download.c.realme.com/osupdate/RMX1911EX_11_OTA_1630_all_DUetHF8tTlf8.ozip,http://otafsg-cost.realmemobile.com/RMX1911/RMX1911EX_11.C.63_1630_202101121752/patch/amazone2/GLO/RMX1911EX/RMX1911EX_11.C.63_1630_202101121752/RMX1911EX_11_OTA_1630_all_DUetHF8tTlf8_34a76717376df.ozip,https://otaafsg-cost.realmemobile.com/RMX1911/RMX1911EX_11.C.63_1630_202101121752/html/amazone2/GLO/RMX1911EX/RMX1911EX_11.C.63_1630_202101121752/en-US_49acb10e_5_0.html,3211316354,85e4956c795207850ad8fe19473fd3e7
